iter	Passed	Remaining
0	50	50512
1	53	26671
2	56	18664
3	58	14597
4	61	12178
5	64	10612
6	66	9475
7	69	8624
8	72	7966
9	74	7415
10	77	6973
11	80	6596
12	82	6280
13	85	6009
14	87	5772
15	90	5561
16	93	5391
17	95	5218
18	98	5076
19	100	4942
20	103	4818
21	106	4712
22	108	4618
23	111	4527
24	114	4459
25	116	4380
26	119	4306
27	121	4229
28	124	4174
29	127	4110
30	129	4051
31	132	3997
32	134	3946
33	137	3902
34	139	3852
35	142	3821
36	145	3783
37	148	3749
38	150	3709
39	153	3690
40	156	3650
41	158	3621
42	161	3596
43	164	3565
44	166	3534
45	168	3501
46	171	3485
47	174	3456
48	176	3426
49	179	3406
50	182	3387
51	184	3369
52	187	3346
53	189	3322
54	193	3325
55	201	3388
56	206	3410
57	214	3479
58	221	3534
59	228	3576
60	235	3631
61	242	3669
62	250	3720
63	257	3765
64	264	3811
65	271	3838
66	277	3868
67	283	3883
68	290	3913
69	296	3945
70	303	3975
71	310	4004
72	317	4026
73	322	4041
74	329	4064
75	332	4047
76	335	4019
77	337	3993
78	340	3971
79	342	3944
80	345	3918
81	347	3895
82	350	3875
83	353	3852
84	355	3831
85	362	3848
86	367	3858
87	371	3847
88	373	3828
89	376	3808
90	379	3793
91	382	3772
92	384	3753
93	387	3734
94	390	3722
95	394	3715
96	399	3719
97	402	3701
98	405	3687
99	410	3698
100	413	3680
101	415	3662
102	422	3677
103	424	3659
104	427	3646
105	433	3653
106	435	3637
107	440	3641
108	445	3643
109	448	3630
110	451	3612
111	456	3622
112	459	3607
113	461	3590
114	464	3575
115	470	3585
116	472	3569
117	475	3553
118	479	3553
119	482	3540
120	487	3538
121	491	3536
122	493	3521
123	497	3511
124	499	3497
125	503	3492
126	506	3481
127	509	3468
128	511	3454
129	514	3440
130	517	3433
131	520	3419
132	522	3406
133	525	3397
134	528	3386
135	530	3372
136	533	3362
137	536	3351
138	538	3338
139	541	3326
140	544	3317
141	547	3306
142	549	3294
143	552	3285
144	555	3277
145	558	3265
